name,parcelnumber
Azalea Park,190080000
Washington Park,030095000
Forest Hills Park,240121000
Tonsler Park,290234000
Fifeville Park,230031000
Pen Park,48B001000
Riverview Park,55A151000
Meade Park,550019000
Rives Park,610061000
Quarry Park,600255000
Quarry Park,600307000
Jordan Park,260068000
Jordan Park,260045000
Jordan Park,260067000
Longwood Park,200278000
McIntire Park/Greenleaf Park,450001000
Meadowcreek Gardens,40A016000
Greenbrier Park,42B085000
Meadowcreek Gardens,40A016000
McGuffey Park,330174000
Northeast Park,480076000
Market Street Park,330195000
Court Square Park,530039100
Davis Field,470050100
Fry's Spring Park,190032000
Fry's Spring Park,190032100
Fry's Spring Park,190033000
Oakwood Cemetary,270001000
Daughters of Zion Cemetary,280195000
Maplewood Cemetary,530203000
Schenk's Greenway,340091000
Meadow Creek,48A041000
Meadow Creek,47A150000
Belmont Park,590142000
Starr Hill,320133000
